SMILES,property_HLM,property_MDR1_MDCK_ER,property_Solubility,property_hPPB,property_rPPB,property_RLM
O=C(Nc1nc2cc(C(F)(F)F)cc(NC3CC3)n2n1)c1cccnc1,0.675686709,0.370992271,0.041392685,,,1.598024072
Cn1ccnc1CN(C(=O)c1[nH]c2ccccc2c1Cl)C1CC1,1.956437379,1.09220264,1.794348604,,,3.352950636
N#Cc1nc(-c2ccccc2)oc1NCc1ccc2c(c1)OCO2,2.318165633,,,,,2.849160111
O=C(Cc1cccc(I)c1)N1CC(CO)C1,0.675686709,0.201685782,1.624282096,,,1.027920136
Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,2.372418541,0.106454501,1.260071388,-0.083019953,0.021602716,3.077711934
O=C(NCc1nnc2c(O)nccn12)C1CCCC1,0.675686709,0.086891285,1.621591676,,,1.027920136
CCc1ncnc(N(C)Cc2ccc(N)nc2)c1F,0.675686709,-0.197245538,1.542825427,,,1.645648201
CNC(=O)c1ccc(N(C)C2CCC2)nn1,1.394504213,-0.232246634,1.674585602,,,1.605595915
CC(C)(C)c1noc(COc2ccccc2C#N)n1,,,1.610873,,,
Cc1ccc(CNc2ncnn2C)nc1,0.675686709,-0.164032863,,,,1.027920136
CCOCC(=O)N1CCC2(CCc3ccccc3O2)CC1,1.011908613,-0.135734794,1.533263517,,,2.912676313
COc1cccc(-c2ccc(C(=O)N(C)Cc3c(C)nn(C(C)C)c3C)o2)c1,2.421791423,0.168389411,1.672005445,,,3.293288066
CCN(c1ccccc1)S(=O)(=O)c1ccc(C(=O)Nc2ccccc2C(C)=O)cc1,,0.0722319,-0.346787486,,,
CCN1CCN(C(=O)CNc2ncnc3onc(C)c23)CC1,0.675686709,0.565635584,,,,1.027920136
Cc1cccn(Cc2cccc(C#N)c2)c1=O,0.675686709,-0.16137005,1.489958479,,,1.459844642
CN(C)[C@@H]1CN(C(=O)CCn2cnc3ccccc32)C[C@H]1O,0.739493231,0.220292133,2.179264464,,,1.487166667
Cc1cnn(C2CN(CC3(O)CCCCC3)C2)c1,1.738312727,-0.311815484,1.5132176,,,3.277879333
O=C(Nc1ccn(Cc2ccccn2)n1)c1c(F)cccc1I,0.675686709,0.454603323,1.786609473,,,2.120439016
O=C(NCCc1ccc2c(c1)OCCO2)c1ccc2ccccc2n1,2.090864442,-0.247814021,0.985426474,,,3.289148638
O=C(Cc1ccc2c(c1)CCCC2)Nc1ccc(-n2cnnn2)cc1,,,-0.022276395,,,
c1cnc(N2CCC(Cc3ccncc3)CC2)nc1,1.039255444,-0.240321893,1.764176132,,,2.164120773
Cc1nn(C)c(C)c1-c1cc(C(C)(C)C)nc(N(C)C)n1,1.712683367,-0.208299638,,,,2.563052513
CN(CCN1CCOC1=O)C(=O)c1cc2cc(Br)ccc2o1,1.121494186,0.358545611,1.706973676,,,2.031275125
Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,2.708153952,0.162660691,,,,3.002522426
CCOC(=O)c1ccc(N2CCSCC2)nc1,2.613674835,-0.509552116,,,,3.474911453
Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1,,1.914123041,-0.744727495,,,
CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,1.991761966,-0.290368309,,,,3.581057068
C=CC(=O)Nc1cccc(Sc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)c1,,,-0.397940009,,,
O=C(NCc1ccc(F)cc1)C1CCN(C(=O)/C=C/c2ccccc2)CC1,0.675686709,0.790034452,0.916980047,,,2.123668742
