SMILES,property_CpG_Abs,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_cGAMP_Abs,property_cGAMP_Lum
CC(=NNC(=O)COc1ccc(Cl)cc1[N+](=O)[O-])c1cccc(Br)c1,0,0,0,0,0,0,0
CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,0,0,0,0,0,0,0
CCN(CC)c1ccc2cc(-c3nnc(NCc4ccc(F)cc4)s3)c(=O)oc2c1,0,0,0,0,0,0,0
CCCCCCCCCCCCCCCCOc1nc2ccc(C)cc2c(=O)o1,0,0,0,0,0,0,0
[O-][n+]1cccc(CO)c1,0,0,0,0,0,0,0
COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,0,0,0,0,0,0,0
CN(C(=O)CNC(=O)/C=C/c1cccc(Cl)c1)C1CCS(=O)(=O)CC1,0,0,0,0,0,0,0
O=C(O)c1cc(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc(C(=O)O)c1,0,0,0,0,0,0,0
CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,0,0,0,0,0,0,0
CN1CCN(C2=NC(=O)C(=Cc3ccc(Cl)cc3Cl)S2)CC1,0,0,0,0,0,0,0
Cc1occc1C(=O)Nc1ccc([N+](=O)[O-])cc1Cl,0,0,0,0,0,0,0
Cc1cc(O)c(C(C)C)cc1NC(=O)c1cc(C(C)(C)C)oc1C,0,0,0,0,0,0,0
c1cc2c3c(cccc3c1)-c1nc3ccccc3nc1-2,0,0,0,0,0,0,0
CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,0,0,0,0,0,0,0
O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)N1CCN(c2ccccc2)CC1,0,0,0,0,0,0,0
Cc1ccc(C=C2Oc3c(ccc(O)c3CN3CCN(CCO)CC3)C2=O)cc1,0,0,0,0,0,0,0
CCc1nc2ccc(C(=O)NC3CCC(n4cccn4)CC3)cc2s1,0,0,0,0,0,0,0
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,0,0,0,1,1,0,0
COc1ccc(C(=O)C2CCN(CC(=O)N(Cc3nc4c(c(=O)[nH]3)COCC4)CC3CC3)CC2)cc1,0,0,0,0,0,0,0
Brc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,0,0,0,0,0,0,0
CCc1sc2sncc2c1Br,1,0,1,0,1,0,1
Br.COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,0,0,1,0,0,0,0
Cc1ccccc1C(=O)N(Cc1cccnc1)c1nc2c(F)cccc2s1,1,1,0,1,0,0,0
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,0,0,0,0,0,1,0
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,0,1,1,1,1,1,1
CC1NC(=O)C(N)CNC(=O)C(C2CCNC(N)=N2)NC(=O)C(=CNC(N)=O)NC(=O)C(CNC(=O)CC(N)CCCN)NC1=O.O=S(=O)(O)O,0,0,0,0,0,0,0
