Catalog,PME Code,SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Abs Std,LPS Lum,LPS Lum Std,MPLA Abs,MPLA Abs Std,MPLA Lum,MPLA Lum Std,CpG Abs,CpG Abs Std,cGAMP Abs,cGAMP Abs Std,cGAMP Lum,cGAMP Lum Std,LMCpG Abs,LMCpG Abs Std,LMcGAMP Lum,LMcGAMP Lum Std
S1430,Primary,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,89.65124,80.1654,1.536931276,0.205333441,0.987336636,0.165441364,1.148107409,0.2472007719999999,0.783567667,0.288202852,2.260565996,0.1155959219999999,1.420874715,0.243884206,1.031188488,0.100721046,1.6485348936666668,0.1971737481286716,0.9340309303333332,0.2004798060740354
S1431,Primary,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,97.60271,89.56669,1.332226753,0.1758620889999999,0.8919438120000001,0.251661032,0.851594567,0.2085717769999999,0.760945797,0.3265007139999999,1.281692743,0.052693088,1.162378907,0.176027879,1.047966123,0.083724529,1.1551713543333333,0.1604225898799348,0.900285244,0.2428619553203606
S1432,Primary,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1.O=C(O)CCC(=O)O,96.75964,90.50733,1.10781765,0.14629145,1.028604865,0.164170429,0.927301049,0.231974661,0.820465207,0.242387474,1.029676199,0.0583700459999999,1.176197767,0.17732802,1.002655864,0.066325568,1.0215982993333332,0.161885241204183,0.950575312,0.1733038740485118
S1437,Primary,Cl.Clc1ccc2nsnc2c1NC1=NCCN1,92.9135,90.18275,0.928647339,0.154018745,1.051327705,0.1582615819999999,0.8809956309999999,0.167439654,0.7462620740000001,0.2857866289999999,0.948808908,0.064076155,1.083388686,0.1723922189999999,0.945324183,0.071134053,0.9194839593333332,0.1364594752818564,0.914304654,0.193029168045085
S1438,Primary,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,94.19109,93.43156,0.897732973,0.122832403,1.036929011,0.184211805,0.8242934940000001,0.194898233,0.753269017,0.339498818,1.008785129,0.070202105,1.1138263940000002,0.167963415,0.946117342,0.044879243,0.910270532,0.1390461026658757,0.9121051233333332,0.2245050726798901
S1441,Primary,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,78.16604,82.49973,1.561172962,0.230244279,0.837101102,0.105810881,1.040536761,0.252674878,0.5277827979999999,0.227387831,1.091215611,0.1136905999999999,1.156377554,0.17399466,0.778666794,0.054273415,1.2309751113333334,0.2079924473892459,0.714516898,0.1481516923074038
S1442,Primary,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,96.42421,88.17431,1.187668324,0.162190735,0.8934369090000001,0.137217045,0.847511053,0.223511323,0.638705969,0.27017808,1.071518898,0.044344705,1.206080437,0.182191461,1.108643293,0.100733444,1.035566091666667,0.161482299226662,0.880262057,0.1843655237936489
S1443,Primary,CC(c1cc2ccccc2s1)N(O)C(N)=O,96.94943,90.12763,1.231127977,0.163259909,1.087947011,0.2319170239999999,0.825615883,0.1848248089999999,0.792178631,0.357922196,1.008905411,0.046841025,1.160133719,0.174573153,1.016813278,0.05110231,1.0218830903333334,0.1449230710085243,0.9656463066666668,0.2479954640027481
S1444,Primary,Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,96.56461,90.74355,0.912311077,0.122258738,0.7637795209999999,0.05349534,0.7303475140000001,0.164632976,0.607288837,0.2276278139999999,0.337979555,0.014874874,1.039202809,0.156603575,0.8020824190000001,0.057953939,0.6602127153333334,0.1187047846276426,0.7243835923333334,0.139086103012666
S1454,Primary,CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1,88.04339,88.35316,1.110382318,0.150868014,0.3830795589999999,0.043410495,0.858218908,0.157581046,0.316802442,0.109546028,1.182512164,0.062765829,1.041697741,0.156978384,0.424532652,0.091702275,1.05037113,0.1310629530630421,0.3748048843333333,0.086205395358793
